Region/Country/Area,,Year,Series,Value
642,Romania,2010,Primary energy production (petajoules),"1,155"
642,Romania,2015,Primary energy production (petajoules),"1,116"
642,Romania,2016,Primary energy production (petajoules),"1,045"
642,Romania,2017,Primary energy production (petajoules),"1,071"
642,Romania,2018,Primary energy production (petajoules),"1,053"
642,Romania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),591
642,Romania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),331
642,Romania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),446
642,Romania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),311
642,Romania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),217
642,Romania,2016,Net imports [Imports - Exports - Bunkers] (petajoules),286
642,Romania,2017,Net imports [Imports - Exports - Bunkers] (petajoules),319
642,Romania,2018,Net imports [Imports - Exports - Bunkers] (petajoules),342
642,Romania,1995,Changes in stocks (petajoules),2
642,Romania,2000,Changes in stocks (petajoules),-8
642,Romania,2005,Changes in stocks (petajoules),-7
642,Romania,2010,Changes in stocks (petajoules),-7
642,Romania,2015,Changes in stocks (petajoules),-7
642,Romania,2016,Changes in stocks (petajoules),-5
642,Romania,2017,Changes in stocks (petajoules),-11
642,Romania,2018,Changes in stocks (petajoules),-16
642,Romania,1995,Total supply (petajoules),"1,925"
642,Romania,2000,Total supply (petajoules),"1,532"
642,Romania,2005,Total supply (petajoules),"1,626"
642,Romania,2010,Total supply (petajoules),"1,474"
642,Romania,2015,Total supply (petajoules),"1,341"
642,Romania,2016,Total supply (petajoules),"1,336"
642,Romania,2017,Total supply (petajoules),"1,400"
642,Romania,2018,Total supply (petajoules),"1,411"
642,Romania,1995,Supply per capita (gigajoules),85
642,Romania,2000,Supply per capita (gigajoules),69
642,Romania,2005,Supply per capita (gigajoules),75
642,Romania,2010,Supply per capita (gigajoules),72
642,Romania,2015,Supply per capita (gigajoules),67
642,Romania,2016,Supply per capita (gigajoules),67
642,Romania,2017,Supply per capita (gigajoules),71
642,Romania,2018,Supply per capita (gigajoules),72
643,Russian Federation,1995,Primary energy production (petajoules),"40,589"
643,Russian Federation,2000,Primary energy production (petajoules),"41,030"
643,Russian Federation,2005,Primary energy production (petajoules),"50,506"
643,Russian Federation,2010,Primary energy production (petajoules),"53,679"
643,Russian Federation,2015,Primary energy production (petajoules),"56,024"
643,Russian Federation,2016,Primary energy production (petajoules),"57,679"
643,Russian Federation,2017,Primary energy production (petajoules),"60,017"
643,Russian Federation,2018,Primary energy production (petajoules),"62,422"
643,Russian Federation,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,397"
643,Russian Federation,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-14,842"
643,Russian Federation,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-22,870"
643,Russian Federation,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-24,601"
643,Russian Federation,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-27,007"
643,Russian Federation,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-28,035"
643,Russian Federation,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-28,641"
643,Russian Federation,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-29,521"
643,Russian Federation,1995,Changes in stocks (petajoules),472
643,Russian Federation,2000,Changes in stocks (petajoules),195
643,Russian Federation,2005,Changes in stocks (petajoules),298
643,Russian Federation,2010,Changes in stocks (petajoules),147
643,Russian Federation,2015,Changes in stocks (petajoules),75
643,Russian Federation,2016,Changes in stocks (petajoules),48
643,Russian Federation,2017,Changes in stocks (petajoules),669
643,Russian Federation,2018,Changes in stocks (petajoules),-325
643,Russian Federation,1995,Total supply (petajoules),"26,720"
643,Russian Federation,2000,Total supply (petajoules),"25,994"
643,Russian Federation,2005,Total supply (petajoules),"27,338"
643,Russian Federation,2010,Total supply (petajoules),"28,932"
643,Russian Federation,2015,Total supply (petajoules),"28,943"
643,Russian Federation,2016,Total supply (petajoules),"29,596"
643,Russian Federation,2017,Total supply (petajoules),"30,706"
643,Russian Federation,2018,Total supply (petajoules),"33,226"
643,Russian Federation,1995,Supply per capita (gigajoules),180
643,Russian Federation,2000,Supply per capita (gigajoules),177
643,Russian Federation,2005,Supply per capita (gigajoules),190
643,Russian Federation,2010,Supply per capita (gigajoules),202
643,Russian Federation,2015,Supply per capita (gigajoules),200
643,Russian Federation,2016,Supply per capita (gigajoules),204
643,Russian Federation,2017,Supply per capita (gigajoules),211
643,Russian Federation,2018,Supply per capita (gigajoules),228
646,Rwanda,1995,Primary energy production (petajoules),48
646,Rwanda,2000,Primary energy production (petajoules),46
646,Rwanda,2005,Primary energy production (petajoules),63
646,Rwanda,2010,Primary energy production (petajoules),76
646,Rwanda,2015,Primary energy production (petajoules),85
646,Rwanda,2016,Primary energy production (petajoules),86
646,Rwanda,2017,Primary energy production (petajoules),86
646,Rwanda,2018,Primary energy production (petajoules),87
646,Rwanda,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
646,Rwanda,2000,Net imports [Imports - Exports - Bunkers] (petajoules),8
646,Rwanda,2005,Net imports [Imports - Exports - Bunkers] (petajoules),7
646,Rwanda,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8
646,Rwanda,2015,Net imports [Imports - Exports - Bunkers] (petajoules),13
646,Rwanda,2016,Net imports [Imports - Exports - Bunkers] (petajoules),13
646,Rwanda,2017,Net imports [Imports - Exports - Bunkers] (petajoules),13
646,Rwanda,2018,Net imports [Imports - Exports - Bunkers] (petajoules),14
646,Rwanda,2005,Changes in stocks (petajoules),0
646,Rwanda,2016,Changes in stocks (petajoules),0
646,Rwanda,2017,Changes in stocks (petajoules),0
646,Rwanda,2018,Changes in stocks (petajoules),0
646,Rwanda,1995,Total supply (petajoules),54
646,Rwanda,2000,Total supply (petajoules),54
646,Rwanda,2005,Total supply (petajoules),71
646,Rwanda,2010,Total supply (petajoules),84
646,Rwanda,2015,Total supply (petajoules),98
646,Rwanda,2016,Total supply (petajoules),98
646,Rwanda,2017,Total supply (petajoules),99
646,Rwanda,2018,Total supply (petajoules),101
646,Rwanda,1995,Supply per capita (gigajoules),10
646,Rwanda,2000,Supply per capita (gigajoules),7
646,Rwanda,2005,Supply per capita (gigajoules),8
646,Rwanda,2010,Supply per capita (gigajoules),8
646,Rwanda,2015,Supply per capita (gigajoules),9
646,Rwanda,2016,Supply per capita (gigajoules),8
646,Rwanda,2017,Supply per capita (gigajoules),8
646,Rwanda,2018,Supply per capita (gigajoules),8
654,Saint Helena,1995,Primary energy production (petajoules),0
654,Saint Helena,2000,Primary energy production (petajoules),0
654,Saint Helena,2005,Primary energy production (petajoules),0
654,Saint Helena,2010,Primary energy production (petajoules),0
654,Saint Helena,2015,Primary energy production (petajoules),0
654,Saint Helena,2016,Primary energy production (petajoules),0
654,Saint Helena,2017,Primary energy production (petajoules),0
654,Saint Helena,2018,Primary energy production (petajoules),0
654,Saint Helena,1995,Net imports [Imports - Exports - Bunkers] (petajoules),0
654,Saint Helena,2000,Net imports [Imports - Exports - Bunkers] (petajoules),0
654,Saint Helena,2005,Net imports [Imports - Exports - Bunkers] (petajoules),0
654,Saint Helena,2010,Net imports [Imports - Exports - Bunkers] (petajoules),0
654,Saint Helena,2015,Net imports [Imports - Exports - Bunkers] (petajoules),0
654,Saint Helena,2016,Net imports [Imports - Exports - Bunkers] (petajoules),0
654,Saint Helena,2017,Net imports [Imports - Exports - Bunkers] (petajoules),0
654,Saint Helena,2018,Net imports [Imports - Exports - Bunkers] (petajoules),0
654,Saint Helena,1995,Total supply (petajoules),0
654,Saint Helena,2000,Total supply (petajoules),0
654,Saint Helena,2005,Total supply (petajoules),0
654,Saint Helena,2010,Total supply (petajoules),0
654,Saint Helena,2015,Total supply (petajoules),0
654,Saint Helena,2016,Total supply (petajoules),0
654,Saint Helena,2017,Total supply (petajoules),0
654,Saint Helena,2018,Total supply (petajoules),0
654,Saint Helena,1995,Supply per capita (gigajoules),35
654,Saint Helena,2000,Supply per capita (gigajoules),36
654,Saint Helena,2005,Supply per capita (gigajoules),33
654,Saint Helena,2010,Supply per capita (gigajoules),30
654,Saint Helena,2015,Supply per capita (gigajoules),27
654,Saint Helena,2016,Supply per capita (gigajoules),35
654,Saint Helena,2017,Supply per capita (gigajoules),26
654,Saint Helena,2018,Supply per capita (gigajoules),32
659,Saint Kitts and Nevis,1995,Primary energy production (petajoules),1
659,Saint Kitts and Nevis,2000,Primary energy production (petajoules),1
659,Saint Kitts and Nevis,2005,Primary energy production (petajoules),1
659,Saint Kitts and Nevis,2010,Primary energy production (petajoules),0
659,Saint Kitts and Nevis,2015,Primary energy production (petajoules),0
659,Saint Kitts and Nevis,2016,Primary energy production (petajoules),0
659,Saint Kitts and Nevis,2017,Primary energy production (petajoules),0
659,Saint Kitts and Nevis,2018,Primary energy production (petajoules),0
659,Saint Kitts and Nevis,1995,Net imports [Imports - Exports - Bunkers] (petajoules),2
659,Saint Kitts and Nevis,2000,Net imports [Imports - Exports - Bunkers] (petajoules),3
659,Saint Kitts and Nevis,2005,Net imports [Imports - Exports - Bunkers] (petajoules),3
659,Saint Kitts and Nevis,2010,Net imports [Imports - Exports - Bunkers] (petajoules),3
659,Saint Kitts and Nevis,2015,Net imports [Imports - Exports - Bunkers] (petajoules),4
659,Saint Kitts and Nevis,2016,Net imports [Imports - Exports - Bunkers] (petajoules),4
659,Saint Kitts and Nevis,2017,Net imports [Imports - Exports - Bunkers] (petajoules),4
659,Saint Kitts and Nevis,2018,Net imports [Imports - Exports - Bunkers] (petajoules),4
659,Saint Kitts and Nevis,1995,Total supply (petajoules),2
659,Saint Kitts and Nevis,2000,Total supply (petajoules),3
659,Saint Kitts and Nevis,2005,Total supply (petajoules),3
659,Saint Kitts and Nevis,2010,Total supply (petajoules),3
659,Saint Kitts and Nevis,2015,Total supply (petajoules),3
659,Saint Kitts and Nevis,2016,Total supply (petajoules),3
659,Saint Kitts and Nevis,2017,Total supply (petajoules),3
659,Saint Kitts and Nevis,2018,Total supply (petajoules),4
659,Saint Kitts and Nevis,1995,Supply per capita (gigajoules),56
659,Saint Kitts and Nevis,2000,Supply per capita (gigajoules),63
659,Saint Kitts and Nevis,2005,Supply per capita (gigajoules),67
659,Saint Kitts and Nevis,2010,Supply per capita (gigajoules),65
659,Saint Kitts and Nevis,2015,Supply per capita (gigajoules),65
659,Saint Kitts and Nevis,2016,Supply per capita (gigajoules),67
659,Saint Kitts and Nevis,2017,Supply per capita (gigajoules),67
659,Saint Kitts and Nevis,2018,Supply per capita (gigajoules),67
662,Saint Lucia,1995,Primary energy production (petajoules),1
662,Saint Lucia,2000,Primary energy production (petajoules),1
662,Saint Lucia,2005,Primary energy production (petajoules),1
662,Saint Lucia,2010,Primary energy production (petajoules),1
662,Saint Lucia,2015,Primary energy production (petajoules),1
662,Saint Lucia,2016,Primary energy production (petajoules),1
662,Saint Lucia,2017,Primary energy production (petajoules),1
662,Saint Lucia,2018,Primary energy production (petajoules),1
662,Saint Lucia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4
662,Saint Lucia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),5
662,Saint Lucia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),6
662,Saint Lucia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8
662,Saint Lucia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),7
662,Saint Lucia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),8
662,Saint Lucia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),8
662,Saint Lucia,2018,Net imports [Imports - Exports - Bunkers] (petajoules),8
662,Saint Lucia,1995,Total supply (petajoules),5
662,Saint Lucia,2000,Total supply (petajoules),6
662,Saint Lucia,2005,Total supply (petajoules),7
662,Saint Lucia,2010,Total supply (petajoules),8
662,Saint Lucia,2015,Total supply (petajoules),8
662,Saint Lucia,2016,Total supply (petajoules),8
662,Saint Lucia,2017,Total supply (petajoules),8
662,Saint Lucia,2018,Total supply (petajoules),8
662,Saint Lucia,1995,Supply per capita (gigajoules),36
662,Saint Lucia,2000,Supply per capita (gigajoules),40
662,Saint Lucia,2005,Supply per capita (gigajoules),41
662,Saint Lucia,2010,Supply per capita (gigajoules),45
662,Saint Lucia,2015,Supply per capita (gigajoules),43
662,Saint Lucia,2016,Supply per capita (gigajoules),42
662,Saint Lucia,2017,Supply per capita (gigajoules),44
662,Saint Lucia,2018,Supply per capita (gigajoules),44
666,Saint Pierre and Miquelon,2000,Primary energy production (petajoules),0
666,Saint Pierre and Miquelon,2005,Primary energy production (petajoules),0
666,Saint Pierre and Miquelon,2010,Primary energy production (petajoules),0
666,Saint Pierre and Miquelon,2015,Primary energy production (petajoules),0
666,Saint Pierre and Miquelon,2016,Primary energy production (petajoules),0
666,Saint Pierre and Miquelon,2017,Primary energy production (petajoules),0
666,Saint Pierre and Miquelon,2018,Primary energy production (petajoules),0
666,Saint Pierre and Miquelon,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
666,Saint Pierre and Miquelon,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
666,Saint Pierre and Miquelon,2005,Net imports [Imports - Exports - Bunkers] (petajoules),1
666,Saint Pierre and Miquelon,2010,Net imports [Imports - Exports - Bunkers] (petajoules),1
666,Saint Pierre and Miquelon,2015,Net imports [Imports - Exports - Bunkers] (petajoules),1
666,Saint Pierre and Miquelon,2016,Net imports [Imports - Exports - Bunkers] (petajoules),1
666,Saint Pierre and Miquelon,2017,Net imports [Imports - Exports - Bunkers] (petajoules),1
666,Saint Pierre and Miquelon,2018,Net imports [Imports - Exports - Bunkers] (petajoules),1
666,Saint Pierre and Miquelon,1995,Total supply (petajoules),1
666,Saint Pierre and Miquelon,2000,Total supply (petajoules),1
666,Saint Pierre and Miquelon,2005,Total supply (petajoules),1
666,Saint Pierre and Miquelon,2010,Total supply (petajoules),1
666,Saint Pierre and Miquelon,2015,Total supply (petajoules),1
666,Saint Pierre and Miquelon,2016,Total supply (petajoules),1
666,Saint Pierre and Miquelon,2017,Total supply (petajoules),1
666,Saint Pierre and Miquelon,2018,Total supply (petajoules),1
666,Saint Pierre and Miquelon,1995,Supply per capita (gigajoules),164
666,Saint Pierre and Miquelon,2000,Supply per capita (gigajoules),125
666,Saint Pierre and Miquelon,2005,Supply per capita (gigajoules),144
666,Saint Pierre and Miquelon,2010,Supply per capita (gigajoules),143
666,Saint Pierre and Miquelon,2015,Supply per capita (gigajoules),153
666,Saint Pierre and Miquelon,2016,Supply per capita (gigajoules),156
666,Saint Pierre and Miquelon,2017,Supply per capita (gigajoules),157
666,Saint Pierre and Miquelon,2018,Supply per capita (gigajoules),146
670,Saint Vincent & Grenadines,1995,Primary energy production (petajoules),0
670,Saint Vincent & Grenadines,2000,Primary energy production (petajoules),0
670,Saint Vincent & Grenadines,2005,Primary energy production (petajoules),0
670,Saint Vincent & Grenadines,2010,Primary energy production (petajoules),0
670,Saint Vincent & Grenadines,2015,Primary energy production (petajoules),0
670,Saint Vincent & Grenadines,2016,Primary energy production (petajoules),0
670,Saint Vincent & Grenadines,2017,Primary energy production (petajoules),0
670,Saint Vincent & Grenadines,2018,Primary energy production (petajoules),0
670,Saint Vincent & Grenadines,1995,Net imports [Imports - Exports - Bunkers] (petajoules),2
670,Saint Vincent & Grenadines,2000,Net imports [Imports - Exports - Bunkers] (petajoules),2
670,Saint Vincent & Grenadines,2005,Net imports [Imports - Exports - Bunkers] (petajoules),3
670,Saint Vincent & Grenadines,2010,Net imports [Imports - Exports - Bunkers] (petajoules),3
670,Saint Vincent & Grenadines,2015,Net imports [Imports - Exports - Bunkers] (petajoules),3
670,Saint Vincent & Grenadines,2016,Net imports [Imports - Exports - Bunkers] (petajoules),4
670,Saint Vincent & Grenadines,2017,Net imports [Imports - Exports - Bunkers] (petajoules),3
670,Saint Vincent & Grenadines,2018,Net imports [Imports - Exports - Bunkers] (petajoules),4
670,Saint Vincent & Grenadines,2010,Changes in stocks (petajoules),0
670,Saint Vincent & Grenadines,2015,Changes in stocks (petajoules),0
670,Saint Vincent & Grenadines,2016,Changes in stocks (petajoules),0
670,Saint Vincent & Grenadines,2017,Changes in stocks (petajoules),0
670,Saint Vincent & Grenadines,2018,Changes in stocks (petajoules),0
670,Saint Vincent & Grenadines,1995,Total supply (petajoules),2
670,Saint Vincent & Grenadines,2000,Total supply (petajoules),2
670,Saint Vincent & Grenadines,2005,Total supply (petajoules),3
670,Saint Vincent & Grenadines,2010,Total supply (petajoules),3
670,Saint Vincent & Grenadines,2015,Total supply (petajoules),4
670,Saint Vincent & Grenadines,2016,Total supply (petajoules),4
670,Saint Vincent & Grenadines,2017,Total supply (petajoules),3
670,Saint Vincent & Grenadines,2018,Total supply (petajoules),4
670,Saint Vincent & Grenadines,1995,Supply per capita (gigajoules),19
670,Saint Vincent & Grenadines,2000,Supply per capita (gigajoules),21
670,Saint Vincent & Grenadines,2005,Supply per capita (gigajoules),31
670,Saint Vincent & Grenadines,2010,Supply per capita (gigajoules),31
670,Saint Vincent & Grenadines,2015,Supply per capita (gigajoules),33
670,Saint Vincent & Grenadines,2016,Supply per capita (gigajoules),33
670,Saint Vincent & Grenadines,2017,Supply per capita (gigajoules),29
670,Saint Vincent & Grenadines,2018,Supply per capita (gigajoules),33
882,Samoa,1995,Primary energy production (petajoules),2
882,Samoa,2000,Primary energy production (petajoules),2
882,Samoa,2005,Primary energy production (petajoules),2
882,Samoa,2010,Primary energy production (petajoules),2
882,Samoa,2015,Primary energy production (petajoules),2
882,Samoa,2016,Primary energy production (petajoules),2
882,Samoa,2017,Primary energy production (petajoules),2
882,Samoa,2018,Primary energy production (petajoules),2
882,Samoa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),2
882,Samoa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),3
882,Samoa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),3
882,Samoa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
882,Samoa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),3
882,Samoa,2016,Net imports [Imports - Exports - Bunkers] (petajoules),3
882,Samoa,2017,Net imports [Imports - Exports - Bunkers] (petajoules),3
882,Samoa,2018,Net imports [Imports - Exports - Bunkers] (petajoules),3
882,Samoa,2000,Changes in stocks (petajoules),0
882,Samoa,2005,Changes in stocks (petajoules),0
882,Samoa,2010,Changes in stocks (petajoules),0
882,Samoa,2015,Changes in stocks (petajoules),0
882,Samoa,2016,Changes in stocks (petajoules),0
882,Samoa,2017,Changes in stocks (petajoules),0
882,Samoa,2018,Changes in stocks (petajoules),0
882,Samoa,1995,Total supply (petajoules),4
882,Samoa,2000,Total supply (petajoules),4
882,Samoa,2005,Total supply (petajoules),4
882,Samoa,2010,Total supply (petajoules),4
882,Samoa,2015,Total supply (petajoules),5
882,Samoa,2016,Total supply (petajoules),5
882,Samoa,2017,Total supply (petajoules),5
882,Samoa,2018,Total supply (petajoules),5
882,Samoa,1995,Supply per capita (gigajoules),22
882,Samoa,2000,Supply per capita (gigajoules),25
882,Samoa,2005,Supply per capita (gigajoules),24
882,Samoa,2010,Supply per capita (gigajoules),23
882,Samoa,2015,Supply per capita (gigajoules),26
882,Samoa,2016,Supply per capita (gigajoules),26
882,Samoa,2017,Supply per capita (gigajoules),27
882,Samoa,2018,Supply per capita (gigajoules),27
678,Sao Tome and Principe,1995,Primary energy production (petajoules),1
678,Sao Tome and Principe,2000,Primary energy production (petajoules),1
678,Sao Tome and Principe,2005,Primary energy production (petajoules),1
678,Sao Tome and Principe,2010,Primary energy production (petajoules),1
678,Sao Tome and Principe,2015,Primary energy production (petajoules),1
678,Sao Tome and Principe,2016,Primary energy production (petajoules),1
678,Sao Tome and Principe,2017,Primary energy production (petajoules),1
678,Sao Tome and Principe,2018,Primary energy production (petajoules),1
678,Sao Tome and Principe,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
678,Sao Tome and Principe,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
678,Sao Tome and Principe,2005,Net imports [Imports - Exports - Bunkers] (petajoules),1
678,Sao Tome and Principe,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
678,Sao Tome and Principe,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2
678,Sao Tome and Principe,2016,Net imports [Imports - Exports - Bunkers] (petajoules),2
678,Sao Tome and Principe,2017,Net imports [Imports - Exports - Bunkers] (petajoules),2
678,Sao Tome and Principe,2018,Net imports [Imports - Exports - Bunkers] (petajoules),1
678,Sao Tome and Principe,1995,Total supply (petajoules),1
678,Sao Tome and Principe,2000,Total supply (petajoules),2
678,Sao Tome and Principe,2005,Total supply (petajoules),2
678,Sao Tome and Principe,2010,Total supply (petajoules),2
678,Sao Tome and Principe,2015,Total supply (petajoules),3
678,Sao Tome and Principe,2016,Total supply (petajoules),3
678,Sao Tome and Principe,2017,Total supply (petajoules),3
678,Sao Tome and Principe,2018,Total supply (petajoules),3
678,Sao Tome and Principe,1995,Supply per capita (gigajoules),12
678,Sao Tome and Principe,2000,Supply per capita (gigajoules),12
678,Sao Tome and Principe,2005,Supply per capita (gigajoules),13
678,Sao Tome and Principe,2010,Supply per capita (gigajoules),13
678,Sao Tome and Principe,2015,Supply per capita (gigajoules),14
678,Sao Tome and Principe,2016,Supply per capita (gigajoules),14
678,Sao Tome and Principe,2017,Supply per capita (gigajoules),14
678,Sao Tome and Principe,2018,Supply per capita (gigajoules),14
682,Saudi Arabia,1995,Primary energy production (petajoules),"19,932"
682,Saudi Arabia,2000,Primary energy production (petajoules),"20,284"
682,Saudi Arabia,2005,Primary energy production (petajoules),"24,162"
682,Saudi Arabia,2010,Primary energy production (petajoules),"22,115"
682,Saudi Arabia,2015,Primary energy production (petajoules),"27,723"
682,Saudi Arabia,2016,Primary energy production (petajoules),"28,663"
682,Saudi Arabia,2017,Primary energy production (petajoules),"28,103"
682,Saudi Arabia,2018,Primary energy production (petajoules),"28,567"
682,Saudi Arabia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-16,073"
682,Saudi Arabia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-15,797"
682,Saudi Arabia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-18,116"
682,Saudi Arabia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-14,727"
682,Saudi Arabia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-17,294"
682,Saudi Arabia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-18,986"
682,Saudi Arabia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-18,253"
682,Saudi Arabia,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-18,827"
682,Saudi Arabia,1995,Changes in stocks (petajoules),-22
682,Saudi Arabia,2000,Changes in stocks (petajoules),0
682,Saudi Arabia,2005,Changes in stocks (petajoules),0
682,Saudi Arabia,2010,Changes in stocks (petajoules),-319
682,Saudi Arabia,2015,Changes in stocks (petajoules),121
682,Saudi Arabia,2016,Changes in stocks (petajoules),-300
682,Saudi Arabia,2017,Changes in stocks (petajoules),-186
682,Saudi Arabia,2018,Changes in stocks (petajoules),-210
682,Saudi Arabia,1995,Total supply (petajoules),"3,881"
682,Saudi Arabia,2000,Total supply (petajoules),"4,487"
682,Saudi Arabia,2005,Total supply (petajoules),"6,047"
682,Saudi Arabia,2010,Total supply (petajoules),"7,707"
682,Saudi Arabia,2015,Total supply (petajoules),"10,307"
682,Saudi Arabia,2016,Total supply (petajoules),"9,977"
682,Saudi Arabia,2017,Total supply (petajoules),"10,035"
682,Saudi Arabia,2018,Total supply (petajoules),"9,950"
682,Saudi Arabia,1995,Supply per capita (gigajoules),210
682,Saudi Arabia,2000,Supply per capita (gigajoules),224
682,Saudi Arabia,2005,Supply per capita (gigajoules),252
682,Saudi Arabia,2010,Supply per capita (gigajoules),281
682,Saudi Arabia,2015,Supply per capita (gigajoules),325
682,Saudi Arabia,2016,Supply per capita (gigajoules),308
682,Saudi Arabia,2017,Supply per capita (gigajoules),303
682,Saudi Arabia,2018,Supply per capita (gigajoules),295
686,Senegal,1995,Primary energy production (petajoules),44
686,Senegal,2000,Primary energy production (petajoules),50
686,Senegal,2005,Primary energy production (petajoules),52
686,Senegal,2010,Primary energy production (petajoules),86
686,Senegal,2015,Primary energy production (petajoules),69
686,Senegal,2016,Primary energy production (petajoules),66
686,Senegal,2017,Primary energy production (petajoules),69
686,Senegal,2018,Primary energy production (petajoules),69
686,Senegal,1995,Net imports [Imports - Exports - Bunkers] (petajoules),43
686,Senegal,2000,Net imports [Imports - Exports - Bunkers] (petajoules),47
686,Senegal,2005,Net imports [Imports - Exports - Bunkers] (petajoules),65
686,Senegal,2010,Net imports [Imports - Exports - Bunkers] (petajoules),74
686,Senegal,2015,Net imports [Imports - Exports - Bunkers] (petajoules),104
686,Senegal,2016,Net imports [Imports - Exports - Bunkers] (petajoules),102
686,Senegal,2017,Net imports [Imports - Exports - Bunkers] (petajoules),111
686,Senegal,2018,Net imports [Imports - Exports - Bunkers] (petajoules),125
686,Senegal,1995,Changes in stocks (petajoules),0
686,Senegal,2000,Changes in stocks (petajoules),1
686,Senegal,2005,Changes in stocks (petajoules),3
686,Senegal,2010,Changes in stocks (petajoules),2
686,Senegal,2015,Changes in stocks (petajoules),-4
686,Senegal,2016,Changes in stocks (petajoules),-6
686,Senegal,2017,Changes in stocks (petajoules),-6
686,Senegal,2018,Changes in stocks (petajoules),4
686,Senegal,1995,Total supply (petajoules),87
686,Senegal,2000,Total supply (petajoules),97
686,Senegal,2005,Total supply (petajoules),114
686,Senegal,2010,Total supply (petajoules),160
686,Senegal,2015,Total supply (petajoules),178
686,Senegal,2016,Total supply (petajoules),174
686,Senegal,2017,Total supply (petajoules),186
686,Senegal,2018,Total supply (petajoules),191
686,Senegal,1995,Supply per capita (gigajoules),10
686,Senegal,2000,Supply per capita (gigajoules),10
686,Senegal,2005,Supply per capita (gigajoules),11
686,Senegal,2010,Supply per capita (gigajoules),13
686,Senegal,2015,Supply per capita (gigajoules),12
686,Senegal,2016,Supply per capita (gigajoules),12
686,Senegal,2017,Supply per capita (gigajoules),12
686,Senegal,2018,Supply per capita (gigajoules),12
688,Serbia,2005,Primary energy production (petajoules),431
688,Serbia,2010,Primary energy production (petajoules),440
688,Serbia,2015,Primary energy production (petajoules),449
688,Serbia,2016,Primary energy production (petajoules),446
688,Serbia,2017,Primary energy production (petajoules),438
688,Serbia,2018,Primary energy production (petajoules),418
688,Serbia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),243
688,Serbia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),212
688,Serbia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),164
688,Serbia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),181
688,Serbia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),211
688,Serbia,2018,Net imports [Imports - Exports - Bunkers] (petajoules),213
688,Serbia,2005,Changes in stocks (petajoules),2
688,Serbia,2010,Changes in stocks (petajoules),4
688,Serbia,2015,Changes in stocks (petajoules),1
688,Serbia,2016,Changes in stocks (petajoules),-6
688,Serbia,2017,Changes in stocks (petajoules),3
688,Serbia,2018,Changes in stocks (petajoules),-5
688,Serbia,2005,Total supply (petajoules),672
688,Serbia,2010,Total supply (petajoules),648
688,Serbia,2015,Total supply (petajoules),612
688,Serbia,2016,Total supply (petajoules),633
688,Serbia,2017,Total supply (petajoules),647
688,Serbia,2018,Total supply (petajoules),635
688,Serbia,2005,Supply per capita (gigajoules),82
688,Serbia,2010,Supply per capita (gigajoules),90
688,Serbia,2015,Supply per capita (gigajoules),86
688,Serbia,2016,Supply per capita (gigajoules),89
